Id,pictures,Candidate,Quote,Key
300,NULL,Hillary,"Extremism thrives amid ignorance and anger, intimidation and cowardice.",
301,NULL,Hillary,"My two secrets to staying healthy: wash your hands all the time. And, if you can't, use Purell or one of the sanitizers. And the other is hot peppers. I eat a lot of hot peppers. I for some reason started doing that in 1992, and I swear by it.",
302,NULL,Hillary,"You cannot have maternal health without reproductive health. And reproductive health includes contraception and family planning and access to legal, safe abortion.",
303,NULL,Hillary,"I like live audiences, with real people - virtual reality is no substitute.",
304,NULL,Hillary,"People can judge me for what I've done. And I think when somebody's out in the public eye, that's what they do. So I'm fully comfortable with who I am, what I stand for, and what I've always stood for.",
305,NULL,Hillary,"If a country doesn't recognize minority rights and human rights, including women's rights, you will not have the kind of stability and prosperity that is possible.",
306,NULL,Hillary,"Let's continue to stand up for those who are vulnerable to being left out or marginalized.",
307,NULL,Hillary,"I believe that the rights of women and girls is the unfinished business of the 21st century.",
555,NULL,,"I know words. I have the best words","president,best,great,power,language"
309,NULL,Hillary,"If I want to knock a story off the front page, I just change my hairstyle.",
310,NULL,Hillary,"We need more good jobs that reward hard work with rising wages, dignity, and a ladder to a better life.",
311,NULL,Hillary,"In almost every profession - whether it's law or journalism, finance or medicine or academia or running a small business - people rely on confidential communications to do their jobs. We count on the space of trust that confidentiality provides. When someone breaches that trust, we are all worse off for it.",
312,NULL,Hillary,"There is no formula that I'm aware of for being a successful or fulfilled woman today.",
313,NULL,Hillary,"Dignity does not come from avenging insults, especially from violence that can never be justified. It comes from taking responsibility and advancing our common humanity.",
314,NULL,Hillary,"What we have to do... is to find a way to celebrate our diversity and debate our differences without fracturing our communities.",
315,NULL,Hillary,"As I speak to you today, government censors somewhere are working furiously to erase my words from the records of history. But history itself has already condemned these tactics.",
316,NULL,Hillary,"You don't walk away if you love someone. You help the person.",
317,NULL,Hillary,"We're always going to argue about abortion. It's a hard choice and it's controversial, and that's why I'm pro-choice, because I want people to make their own choices.",
318,NULL,Hillary,"There's a difference between fair game and playing games.",
319,NULL,Hillary,"I think the world would be a lot better off if more people were to define themselves in terms of their own standards and values and not what other people said or thought about them.",
320,NULL,Hillary,"I mean, honestly, we have to be clear that the life for many Afghan women is not that much different than it was a hundred years ago, 200 years ago. The country has lived with so much violence and conflict that many people, men and women, just want it to be over.",
321,NULL,Hillary,"If you're not comfortable with public speaking - and nobody starts out comfortable; you have to learn how to be comfortable - practice. I cannot overstate the importance of practicing. Get some close friends or family members to help evaluate you, or somebody at work that you trust.",
322,NULL,Hillary,"I suppose I could have stayed home and baked cookies and had teas.",
323,NULL,Hillary,"It is often when night looks darkest, it is often before the fever breaks that one senses the gathering momentum for change, when one feels that resurrection of hope in the midst of despair and apathy.",
324,NULL,Hillary,"I feel very blessed to have a partner in life who supports me, who is enthusiastic about what I want to do, who has been a great father, and who will be a fabulous grandfather.",
325,NULL,Hillary,"When does life start? When does it end? Who makes these decisions?... Every day, in hospitals and homes and hospices... people are struggling with those profound issues.",
327,NULL,Hillary,"My two secrets to staying healthy: wash your hands all the time. And, if you can't, use Purell or one of the sanitizers. And the other is hot peppers. I eat a lot of hot peppers. I for some reason started doing that in 1992, and I swear by it.",
328,NULL,Hillary,"You cannot have maternal health without reproductive health. And reproductive health includes contraception and family planning and access to legal, safe abortion.",
329,NULL,Hillary,"I like live audiences, with real people - virtual reality is no substitute.",
330,NULL,Hillary,"Women are the largest untapped reservoir of talent in the world.",
331,NULL,Hillary,"You know, I think of the global economy as an inverted triangle, resting on the shoulders of the American consumer. And if the American consumer cannot have enough disposable income in order to maintain a standard of living that creates more opportunities generation after generation, that's bad for everybody.",
332,NULL,Hillary,"I will not comment on or confirm what are alleged to be stolen State Department cables. But I can say that the United States deeply regrets the disclosure of any information that was intended to be confidential, including private discussions between counterparts or our diplomats' personal assessments and observations.",
333,NULL,Hillary,"I will read anything by Laura Hillenbrand, Walter Isaacson, Barbara Kingsolver, John le Carre, John Grisham, Hilary Mantel, Toni Morrison, Anna Quindlen and Alice Walker.",
334,NULL,Hillary,"It's impossible to know what happens in the fog of war.",
335,NULL,Hillary,"Voting is the most precious right of every citizen, and we have a moral obligation to ensure the integrity of our voting process.",
336,NULL,Hillary,"Let's not leave an educational vacuum to be filled by religious extremists who go to families who have no other option and offer meals, housing and some form of education. If we are going to combat extremism then we must educate those very same children.",
337,NULL,Hillary,"No matter what you think about the Iraq war, there is one thing we can all agree on for the next days - we have to salute the courage and bravery of those who are risking their lives to vote and those brave Iraqi and American soldiers fighting to protect their right to vote.",
338,NULL,Hillary,"There's a certain consistency to who I am and what I do, and I think people have finally said, 'Well, you know, I kinda get her now.' I've actually had people say that to me.",
339,NULL,Hillary,"The worst thing that can happen in a democracy - as well as in an individual's life - is to become cynical about the future and lose hope.",
340,NULL,Hillary,"You know, everybody has setbacks in their life, and everybody falls short of whatever goals they might set for themselves. That's part of living and coming to terms with who you are as a person.",
341,NULL,Hillary,"In the Bible it says they asked Jesus how many times you should forgive, and he said 70 times 7. Well, I want you all to know that I'm keeping a chart.",
342,NULL,Hillary,"There are 4 billion cell phones in use today. Many of them are in the hands of market vendors, rickshaw drivers, and others who've historically lacked access to education and opportunity. Information networks have become a great leveler, and we should use them together to help lift people out of poverty and give them a freedom from want.",
343,NULL,Hillary,"Both the American people and nations that censor the internet should understand that our government is committed to helping promote internet freedom.",
344,NULL,Hillary,"Everybody feels they have been trespassed upon, and nearly everybody has trespassed on somebody else, maybe not intentionally.",
345,NULL,Hillary,"The candidates we have in this campaign are... the most accomplished, in terms of public service, that we've had since 1960. One of them will be successful.",
346,NULL,Hillary,"Whether a woman's running for office or she's supporting her husband who's running for office and she gets criticised for wearing open-toed shoes or for the colour of her coat, there's just a lot of history that you bear if you are a woman who puts herself out in the political arena.",
347,NULL,Hillary,"I don't have any comment on who the people of Russia choose to be their leaders.",
348,NULL,Hillary,"In too many instances, the march to globalization has also meant the marginalization of women and girls. And that must change.",
349,NULL,Hillary,"I used to sit on the other end of Pennsylvania Avenue and wonder why the Senate was always going into recess, until in my first year I realized how intense the pressure was.",
350,NULL,Hillary,"I'm undaunted in my quest to amuse myself by constantly changing my hair.",
351,NULL,Hillary,"There is no doubt that America remains the premier political, economic, military power in the world, and I both expect and count on it remaining so, because I think that's certainly in our best interest but also the best interests of the world.",
352,NULL,Hillary,"Women standing up for each other is critically important.",
353,NULL,Hillary,"Showing up is not all of life - but it counts for a lot.",
354,NULL,Hillary,"It is a fact that around the world the elites of every country are making money.",
355,NULL,Hillary,"I always run inclusive and successful organisations.",
356,NULL,Hillary,"The truth is that sometimes it is hard even for me to recognize the Hillary Clinton that other people see.",
357,NULL,Hillary,"There is a sense that things, if you keep positive and optimistic about what can be done, do work out.",
358,NULL,Hillary,"I am, you know, adamantly against illegal immigration.",
359,NULL,Hillary,"At the end of the day, you know, love does not happen between two perfect people as much as we would wish.",
360,NULL,Hillary,"If you can't compete fairly, honestly, effectively, no government should intervene. Now, some governments do. They prop up failing industries.",
361,NULL,Hillary,"Going out and playing football or baseball with the boys, when I was a tomboy, was a great way to learn about winning and losing, and most girls didn't have that experience.",
362,NULL,Hillary,"I think we have to face the reality that in a society where there is a legitimate threat of terrorism, not being able to see one's face, not being able to have some sense of communication in that way, is for many societies a challenge.",
363,NULL,Hillary,"When women participate in peace-making and peace-keeping, we are all safer and more secure.",
364,NULL,Hillary,"Many of you are well enough off that the tax cuts may have helped you. We're saying that for America to get back on track, we're probably going to cut that short and not give it to you. We're going to take things away from you on behalf of the common good.",
365,NULL,Hillary,"The First Lady role is really difficult. It has no job description... You have to create it for yourself.",
366,NULL,Hillary,"We don't have enough support for maternal leave and the kinds of things that some of the European countries do. So we still make it hard on women to go into the work force and feel that they can be good at work but then doing the most important job, which is raising your children in a responsible and positive way.",
367,NULL,Hillary,"You show people what you're willing to fight for when you fight your friends.",
368,NULL,Hillary,"My wish for the new millennium is for all children... to grow up wiser, and stronger and more prosperous for the future than ever before.",
369,NULL,Hillary,"I can't stand whining.",
370,NULL,Hillary,"Probably my worst quality is that I get very passionate about what I think is right.",
371,NULL,Hillary,"One of my goals upon becoming Secretary of State was to take diplomacy out of capitals, out of government offices, into the media, into the streets of countries.",
372,NULL,Hillary,"I think that you can disagree with people and debate over their positions with issues without engaging in the politics of personal destruction.",
373,NULL,Hillary,"My feeling is if you're going to be a leader, you have to carefully assess where people are and where people want to go.",
374,NULL,Hillary,"I, for one, respect those who believe with all their hearts and conscience that there are no circumstances under which any abortion should ever be available.",
375,NULL,Hillary,"Often times when you face such an overwhelming challenge as global climate change, it can be somewhat daunting - it's kind of like trying to lose weight, which I know something about.",
376,NULL,Hillary,"Well I think in a marriage you have to be honest and ask yourself, you know, what is my role? What is my responsibility?",
377,NULL,Hillary,"You know, my view is that we have a big world out there.",
378,NULL,Hillary,"If you get so unequal that people believe they don't have a chance, that the field isn't level for them and their children, that puts democracy at risk.",
379,NULL,Hillary,"Gay rights are human rights.",
380,NULL,Hillary,"You can go into neighborhoods in the United States where people dress a certain way because they don't want to be out of touch, where boys wear pants down to their knees, which nobody has compelled them to do but they pick up the cultural norms, or where girls are improperly dressed by my eyes, but that's what they see in the media.",
381,NULL,Hillary,"There are rich people everywhere, and yet they don't contribute to the growth of their countries.",
382,NULL,Hillary,"The challenges of change are always hard. It is important that we begin to unpack those challenges that confront this nation and realize that we each have a role that requires us to change and become more responsible for shaping our own future.",
383,NULL,Hillary,"Human rights are women's rights, and women's rights are human rights.",
384,NULL,Hillary,"I'm too old to be a yuppie.",
385,NULL,Hillary,"I learned some valuable lessons about the legislative process, the importance of bipartisan cooperation and the wisdom of taking small steps to get a big job done.",
386,NULL,Hillary,"I believe in transparency.",
387,NULL,Hillary,"You feel sometimes when you hear analysts and knowledgeable people talking about Iran that they fear so much about the survival of the regime, because deep down it's not a legitimate regime, it doesn't represent the will of the people, it's kind of morphed into kind of a military theocracy.",
388,NULL,Hillary,"I believe in delegating power.",
389,NULL,Hillary,"My overall goal is to level the playing field for American businesses.",
390,NULL,Hillary,"We'll hold out our hand; they have to unclench their fist.",
391,NULL,Hillary,"When a new president comes in, a new president gets to clean house.",
392,NULL,Hillary,"The United States, obviously, has a great interest in helping to maintain peace and security in Europe, and we have a formal alliance, NATO, to do so.",
393,NULL,Hillary,"I've never understood the division between so-called realists and so-called idealists.",
394,NULL,Hillary,"Every nation has to either be with us, or against us. Those who harbor terrorists, or who finance them, are going to pay a price.",
395,NULL,Hillary,"I feel very lucky because of my parents and then my education, the opportunities that I've had, so I would like to continue working to improve lives for others.",
396,NULL,Hillary,"If you believe you can make a difference, not just in politics, in public service, in advocacy around all these important issues, then you have to be prepared to accept that you are not going to get 100 percent approval.",
397,NULL,Hillary,"The need for peace in Northern Ireland goes well beyond political stability. It now speaks to regional Europe and even global stability.",
398,NULL,Hillary,"When I was growing up, my parents always told me that I had to do what I thought was right and not listen to other people. That was hard for me.",
399,NULL,Hillary,"The American people are tired of liars and people who pretend to be something they're not.",
400,NULL,Hillary,"You have to test your ideas in a public forum.",
401,NULL,Hillary,"I think that if you live long enough, you realize that so much of what happens in life is out of your control, but how you respond to it is in your control. That's what I try to remember.",
402,NULL,Hillary,"It is past time for women to take their rightful place, side by side with men, in the rooms where the fates of peoples, where their children's and grandchildren's fates, are decided.",
403,...,Hillary,"I have a lot of stamina and I have a lot of resilience.",
404,NULL,Hillary,"I don't think feminism, as I understand the definition, implies the rejection of maternal values, nurturing children, caring about the men in your life. That is just nonsense to me.",
405,NULL,Hillary,"When I was younger and women first started to get in public positions, in my case the law, we went through a period where we wore those little ribbon ties, little bows. We tried to figure out what was our appropriate dress.",
406,NULL,Hillary,"Freedom means the right of people to assemble, organize, and debate openly.",
407,NULL,Hillary,"I am someone who hopes for the best and prepares for the worst.",
408,NULL,Hillary,"I fought all my life for women to make their own choices, in their personal and professional lives. I made mine.",
409,NULL,Hillary,"I think I'm chronically exhausted.",
410,NULL,Hillary,"I try to read for pleasure whenever I can - it's a great way just to shut it off for a while so your brain doesn't get fried.",
411,NULL,Hillary,"I've often thought that the gauntlet of American politics is more individualistic, more expensive, more unpredictable than in many other democracies.",
412,NULL,Hillary,"Look at climate change; don't put your head in the sand. Understand that it is going to have profound effects on our resources and so much else.",
413,NULL,Hillary,"The challenge is to practice politics as the art of making what appears to be impossible, possible.",
414,NULL,Hillary,"Wealthy women have rights in every country. And poor women don't.",
415,NULL,Hillary,"For centuries, New York has served as the gateway for millions of people from all over the world in search of the American dream. It only makes sense that it would now serve as a gateway for the world's greatest athletes.",
416,NULL,Hillary,"Now, I have always believed that women are not victims; we are agents of change, we are drivers of progress, we are makers of peace - all we need is a fighting chance.",
417,NULL,Hillary,"The United States strongly condemns the illegal disclosure of classified information. It puts people's lives in danger, threatens our national security, and undermines our efforts to work with other countries to solve shared problems.",
418,NULL,Hillary,"We have a close, unshakable bond between the United States and Israel, and between the American and Israeli people. We share common values and a commitment to a democratic future for the world, and we are both committed to a two-state solution. But that doesn't mean that we're going to agree.",
419,NULL,Hillary,"When I chose to leave a career as a young lawyer in Washington to move to Arkansas to marry Bill and start a family, my friends asked, 'Are you out of your mind?'",
420,NULL,Hillary,"Everyone can change.",
421,NULL,Hillary,"Hard men present hard choices - none more so than Vladimir Putin, the President of Russia.",
422,NULL,Hillary,"I think it's fair to say that diplomacy today requires much more of that if you're the United States of America than it did 10, 20, 30, 40 years ago.",
423,NULL,Hillary,"It's true that America can't solve every problem, but I don't know of any major problem in the world that can be solved without us.",
424,NULL,Hillary,"Look, I'm outspoken.",
425,NULL,Hillary,"One of the things I have been preaching around the world is collecting taxes in an equitable manner, especially from the elites.",
426,NULL,Hillary,"The Arctic is going to be an area of intense interest. Russia has the longest coastline in the world with the Arctic.",
427,NULL,Hillary,"There is nothing fast or easy about diplomacy. I have no illusions about that.",
428,NULL,Hillary,"You're not a leader if you haven't been elected.",
429,NULL,Hillary,"Don't let anybody tell you it's corporations and businesses create jobs. You know that old theory, 'trickle-down economics.' That has been tried, that has failed. It has failed rather spectacularly.",
430,NULL,Hillary,"America is stronger because of President Obama's leadership, and I'm better because of his friendship.",
431,NULL,Hillary,"Struggles do not end when countries attempt the transition to democracy.",
432,NULL,Hillary,"We have to knock down the barriers erected by greed, special interests, powerful forces.",
